Codigo,Sigla,Nome,Regente,sigla_grau,icursocod,nvcepocaexame
40751,AA,Algoritmos Avançados,Joaquim João Estrela Ribeiro Silvestre Madeira,M2,"[9294, 9283, 9263]",1º SEMESTRE
40752,TAI,Teoria Algoritmica da Informação,António José Ribeiro Neves,M2,9263,2º SEMESTRE
40753,CLE,Computação em Larga Escala,Eurico Farinha Pedrosa,M2,"[9291, 9263, 8240]",2º SEMESTRE
40754,SIO,Sistemas de Informação Nas Organizações,Osvaldo Manuel da Rocha Pacheco,M2,"[9283, 9263]",2º SEMESTRE
40755,SO,Simulação e Otimização,Amaro Fernandes de Sousa,M2,"[9283, 9263]",2º SEMESTRE
40756,GIC,Gestão de Infraestruturas de Computação,João Paulo Silva Barraca,M2,"[9283, 9263]",2º SEMESTRE
40757,AS,Arquiteturas de Software,Cláudio Jorge Vieira Teixeira,M2,9263,2º SEMESTRE
40769,IFES,Introdução à Física do Estado Sólido,Teresa Maria Fernandes Rodrigues Cabral Monteiro,MI,"[8309, 8321]",2º SEMESTRE
40776,MCC,Modelação e Computação Científica,José Richard Baptista Gomes,M2,9294,1º SEMESTRE
40777,OC,Ótica Computacional,Ana Maria Sousa da Rocha,M2,9295,1º SEMESTRE
40779,CP,Computação Paralela,José Nuno Panelas Nunes Lau,M2,9294,2º SEMESTRE
40780,MSC,Modelação de Sistemas Complexos,José Daniel Lago da Silva Neves Gouveia,M2,9294,2º SEMESTRE
40781,LCVC,Laboratório de Computação e Visualização Científica,João Cunha de Sequeira Amaral,M2,9294,2º SEMESTRE
40782,MSAM,Modelação de Sistemas Atmosféricos e Marinhos,David João da Silva Carvalho,M2,9294,2º SEMESTRE
40803,CD,Controlo Digital,Alexandre Manuel Moutela Nunes da Mota,M2,"[8309, 9295, 9283, 8321]",2º SEMESTRE
40814,sd,Sistemas Distribuídos,,MI,"[8240, 9263, 8316, 8321, 9291]",2º SEMESTRE
40845,PCP,Planeamento e Controlo da Produção,,L1,8321,2º SEMESTRE
40846,IA,Inteligência Artificial,Luís Filipe de Seabra Lopes,L1,"[8295, 8316, 8240]",1º SEMESTRE
40847,EPS,Engenharia de Processos em Serviços,Marlene Paula Castro Amorim,L1,"[9294, 8321]",2º SEMESTRE
40909,dt,Desenho Técnico,,L1,8327,2º SEMESTRE
40914,io,Investigação Operacional,Carlos Manuel dos Santos Ferreira,L1,8295,2º SEMESTRE
41006,MDRS,Modelação e Desempenho de Redes e Serviços,Amaro Fernandes de Sousa,M2,"[9291, 9263, 8316, 8240]",1º SEMESTRE
41007,ASE,Arquiteturas para Sistemas Embutidos,Arnaldo Silva Rodrigues de Oliveira,M2,"[9291, 8316, 8321, 8240]",2º SEMESTRE
41008,RSA,Redes e Sistemas Autónomos,Susana Isabel Barreto de Miranda Sargento,L1,"[9291, 8316, 8240]",2º SEMESTRE
41009,EGS,Engenharia e Gestão de Serviços,Diogo Nuno Pereira Gomes,M2,"[9291, 8316, 8240]",2º SEMESTRE
41010,FAA,Fundamentos de Aprendizagem Automática,Petia Georgieva Georgieva,M2,"[9263, 8240]",1º SEMESTRE
41019,AIA,Aplicações de Inteligência Artificial,Petia Georgieva Georgieva,M2,"[9294, 9263]",1º SEMESTRE
41020,SEC,Seminário de Engenharia Computacional,Carlos António Delgado Sousa Brites,M2,9294,1º SEMESTRE
41165,ECS,Estatística Computacional e Simulação,Isabel Maria Simões Pereira,M2,"[8309, 9294]",1º SEMESTRE
41226,rmi,Robótica Móvel e Inteligente,,M2,"[8240, 8309, 8295, 9291, 8316, 9263]",1º SEMESTRE
41231,im,Interação Multimodal,António Joaquim da Silva Teixeira,M2,"[9283, 9263, 8240]",1º SEMESTRE
41302,ge,Gestão de Empresas,Jorge Humberto Fernandes Mota,L1,8295,1º SEMESTRE
41400,MSI,Música Som e Imagem,,MI,8309,1º SEMESTRE
41405,ED,Eletrónica Digital,Ernesto Fernando Ventura Martins,MI,"[8309, 8321, 9295]",2º SEMESTRE
41406,ep,Electrónica de Potência,,MI,"[8309, 9163, 9295, 8321]",1º SEMESTRE
41407,ie,Instrumentação Electrónica,,M2,"[8309, 9295]",1º SEMESTRE
41429,MTF,Materiais e Tecnologias de Fabrico,,L1,8327,2º SEMESTRE
41469,C,Compiladores,Miguel Augusto Mendes Oliveira e Silva,L1,"[8295, 8316, 8240]",2º SEMESTRE
41474,TM,"Técnicas Matemáticas para ""big Data""",Eugénio Alexandre Miguel Rocha,M2,9283,1º SEMESTRE
41479,RT,Redes de Telecomunicações,Amaro Fernandes de Sousa,MI,"[8309, 8321]",2º SEMESTRE
41482,CE,Campo Eletromagnético,José Fernando Ferreira Mendes,L1,"[8309, 8327, 8321]",2º SEMESTRE
41484,MPE,Métodos Probabilísticos em Eletrotecnia,Pedro Miguel Ribeiro Lavrador,MI,"[8309, 8321]",1º SEMESTRE
41485,SC,Sistemas e Controlo,Telmo Reis Cunha,MI,"[8309, 8321]",1º SEMESTRE
41486,DE,Dispositivos Eletrónicos,Pedro Miguel da Silva Cabral,MI,"[8309, 8321]",1º SEMESTRE
41487,SSD,Sinais e Sistemas Discretos,,MI,"[8309, 8321, 9295]",1º SEMESTRE
41489,SIE,Sistemas de Instrumentação Electrónica,Luís Manuel Cadillon Martins Costa,M2,"[8309, 9163, 9295, 8321]",2º SEMESTRE
41491,SC,Sistemas de Comunicação,Paulo Miguel Nepomuceno Pereira Monteiro,L1,"[8309, 8321]",2º SEMESTRE
41492,ES,Engenharia de Software,Nuno José Ferreira de Sá Couto,MI,"[9263, 8240]",1º SEMESTRE
41495,EA,Eletrónica Analógica,Pedro Filipe Vieira Rito,L1,"[8309, 8295, 8321]",2º SEMESTRE
41499,ERF,Eletrónica de Rádio Frequência,Pedro Miguel da Silva Cabral,MI,"[8309, 9295]",2º SEMESTRE
41502,M,Microelétronica,Pedro Filipe Vieira Rito,MI,"[8309, 9295, 8321]",2º SEMESTRE
41505,SETR,Sistemas Embutidos e de Tempo Real,,M2,"[8309, 9295, 9283, 8321]",2º SEMESTRE
41513,SIAE,Sistemas Integrados para Aplicações Embutidas,Arnaldo Silva Rodrigues de Oliveira,M2,"[8309, 9295]",1º SEMESTRE
41519,PO,Programação Por Objectos,Daniel Nunes Corujo,L1,"[8309, 8327, 8321]",2º SEMESTRE
41521,LE,Laboratórios de Estatística,,MI,8240,1º SEMESTRE
41534,ro,Redes Ópticas,,M2,"[8309, 9295, 8321]",2º SEMESTRE
41549,ihc,Interação Humano-computador,,L1,"[8295, 8316, 8240]",2º SEMESTRE
